Program Name,Contract,Type,Company,Fuel Surcharges,Mins,Daily,Hourly,Annual Membership fees
NJ - 50-hour 320 Card - Citation XLS/Excel ,,Mid,NetJets (NJ),0,0,,11600,
NJ - 50-hour Specialty 320 Card - XLS,,Mid,NetJets (NJ),0,0,,12000,
SJ - SJ25+ Midsize,,Mid,Sentient Jet (SJ) ,1024,1.5,,8985,
"VI - VJ25 - XLS Hybrid - 25 hours to 49 hours (East of Mississippi only)
",,Mid,VistaJet (VI),840,1,,11500,
flyExclusive Super-Mid JC4 100k deposit,JC4,Super Mid,flyExclusive,,,9250,5500,12000
FJ - Jet Card - Challenger 300 - 25 hours,,Super Mid,Flexjet (FJ) ,2120,1,,13737,
"JET - Access Pass - Super Midsize - $200,000",,Super Mid,Jets.com (JET) ,0,2,,10580,
JET - Access Pass - Super Midsize - 25 hours,,Super Mid,Jets.com (JET) ,0,2,,10580,
"JET - Access+ - Super Midsize - $400,000",,Super Mid,Jets.com (JET) ,0,2,,10180,
JET - Access+ - Super Midsize Jet - 50 hours,,Super Mid,Jets.com (JET) ,0,2,,10180,
JL - Club Card - Pay-as-you-go - Super Midsize,,Super Mid,Jet Linx (JL) ,744,2,,10995,
"JL - Executive Card - $150,000 - Super Midsize",,Super Mid,Jet Linx (JL) ,744,2,,10995,
"JL - Executive Card - $250,000 - Super Midsize",,Super Mid,Jet Linx (JL) ,744,2,,10665,
"JL - Executive Card - $500,000 - Super Midsize",,Super Mid,Jet Linx (JL) ,744,2,,10445,
MJ - Business - Challenger 300 - 1 year,,Super Mid,Magellan Jets (MJ),0,1.9,,13100,
MJ - Business - Challenger 300 - 3 years,,Super Mid,Magellan Jets (MJ),0,1.9,,12500,
MJ - Explorer Membership - Super Midsize - Pay-as-you-go,,Super Mid,Magellan Jets (MJ),1197,1.9,,10350,
MJ - Explorer100 Membership - Super Midsize ,,Super Mid,Magellan Jets (MJ),1197,1.9,,10350,
MJ - Super Midsize - 100 hours,,Super Mid,Magellan Jets (MJ),1197,1.9,,9995,
MJ - Super Midsize - 100 hours - 24 hours callout,,Super Mid,Magellan Jets (MJ),1197,1.9,,12493.75,
MJ - Super Midsize - 25 hours,,Super Mid,Magellan Jets (MJ),1197,1.9,,9995,
MJ - Super Midsize - 25 hours - 24 hours callout,,Super Mid,Magellan Jets (MJ),1197,1.9,,12493.75,
MJ - Super Midsize - 50 hours,,Super Mid,Magellan Jets (MJ),1197,1.9,,9995,
MJ - Super Midsize - 50 hours - 24 hours callout,,Super Mid,Magellan Jets (MJ),1197,1.9,,12493.75,
NA - Blue Card - 15 Hours - C300,,Super Mid,Nicholas Air (NA),0,1,,17200,
NA - Blue Card - 15 Hours - Latitude,,Super Mid,Nicholas Air (NA),0,1,,14925,
NA - Blue Card - 30 hours - C300,,Super Mid,Nicholas Air (NA),0,1,,16975,
NA - Blue Card - 30 hours - Latitude,,Super Mid,Nicholas Air (NA),0,1,,14600,
NA - Blue Card - 60 hours - C300,,Super Mid,Nicholas Air (NA),0,1,,16595,
NA - Blue Card - 60 hours - Latitude,,Super Mid,Nicholas Air (NA),0,1,,14150,
NA - Lite Card - $200K - C300,,Super Mid,Nicholas Air (NA),0,1,,15130,
NA - Lite Card - $200K - Latitude,,Super Mid,Nicholas Air (NA),0,1,,12767,
NA - Rise Card - $1 million - C300,,Super Mid,Nicholas Air (NA),0,1,,16545,
NA - Rise Card - $1 million - Latitude,,Super Mid,Nicholas Air (NA),0,1,,14100,
NA - Rise Card - $200K - C300,,Super Mid,Nicholas Air (NA),0,1,,17800,
